"tract_blockgroup","beat","name","percent_blockgroup_population_inbeat","GEOID.x","GEOID.y"
"000100_1",626,"MISSION HILLS",0.0225563909772282,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0192147034250463,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0158730158728643,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0217209690891827,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.039264828738138,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.00584795321631843,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0601503759392753,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0233918128652737,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0250626566413647,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0150375939848188,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0517961570588204,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0367585630740016,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0317460317457286,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0208855472011372,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0359231411859561,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0100250626565459,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0242272347533192,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.196793526361204,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0175438596489553,"060730001001","060730001001"
"000100_1",623,"MISSION VALLEY WEST",0.0479850868456729,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0325814536337741,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0125313283206823,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0275689223055012,"060730001001","060730001001"
"000100_1",626,"MISSION HILLS",0.0258980785294102,"060730001001","060730001001"
"000100_2",626,"MISSION HILLS",7.9911734883687e-09,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.00015867932453097,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.00759789600759615,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0292226769522929,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.00642898892950443,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",0.0261417298362754,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0140268849371006,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0181180597104216,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.00526008185141272,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0626098278565708,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0274693025577204,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",0.024547048639926,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0227936880227885,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",0.0116890627616004,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0286382215138439,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",0.00175336061713757,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0134424313980547,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0111046172418713,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",1.3742379329332e-08,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.00993571016377958,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0151957920151923,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.00818234954664201,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0169491526323299,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0105201637028254,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0210403274056509,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.00935125662473372,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.045002922506531,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0543404942421003,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",0.0405274468516381,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",1.87670366861667e-09,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",0.00109560242784394,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.106754845035381,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.028638223413247,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.012273524319963,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",0.0712679068089892,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0251315021789719,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",1.36848619871748e-05,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",1.97415821981679e-06,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0187025132494674,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",3.5425009077323e-05,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0146113384761464,"060730001002","060730001002"
"000100_2",625,"OLD TOWN",2.10544124779691e-05,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0204348197184018,"060730001002","060730001002"
"000100_2",626,"MISSION HILLS",0.0128560037080335,"060730001002","060730001002"
"000201_1",626,"MISSION HILLS",0.0387685290967184,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0228050171157167,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0399087799525042,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0433295325198617,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0250855188272884,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0171037628367875,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0307867731062175,"060730002011","060730002011"
"000201_1",623,"MISSION VALLEY WEST",0.0399158358040158,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.01368301026943,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0239452679715025,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0182440136925734,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0262257696830742,"060730002011","060730002011"
"000201_1",627,"HILLCREST",0.0159668344066758,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0467502850872192,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.236021548346305,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0296465222504317,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0638540479240067,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0456100342314334,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.0319270239620034,"060730002011","060730002011"
"000201_1",626,"MISSION HILLS",0.020524515404145,"060730002011","060730002011"
"000201_2",626,"MISSION HILLS",1.05579410698148e-08,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",1.86173518144252e-05,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.198313708852698,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.0275800708762507,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.0329181491103637,"060730002012","060730002012"
"000201_2",627,"HILLCREST",0.0563582965544417,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.0364768679331058,"060730002012","060730002012"
"000201_2",627,"HILLCREST",0.0471530138415686,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.0453736649899608,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.221221771654376,"060730002012","060730002012"
"000201_2",627,"HILLCREST",0.0435554618323549,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",3.88436147101777e-05,"060730002012","060730002012"
"000201_2",628,"MIDTOWN",8.48762095301583e-05,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.00978647676254057,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.0346975085217348,"060730002012","060730002012"
"000201_2",627,"HILLCREST",0.0782731969620476,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.0302491099933072,"060730002012","060730002012"
"000201_2",626,"MISSION HILLS",0.0249110317591942,"060730002012","060730002012"
"000201_2",627,"HILLCREST",0.0854092517458086,"060730002012","060730002012"
"000202_1",628,"MIDTOWN",0.186038411863051,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.047876450258624,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0362934380992795,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0370656389099024,"060730002021","060730002021"
"000202_1",626,"MISSION HILLS",3.73287638700072e-09,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.305019320196072,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.00308812537021715,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0216216226974431,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0393822413417714,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0293436269204693,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0517374543117388,"060730002021","060730002021"
"000202_1",626,"MISSION HILLS",6.77859178346314e-07,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0617760648498374,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0818532859260346,"060730002021","060730002021"
"000202_1",626,"MISSION HILLS",6.19339037646319e-05,"060730002021","060730002021"
"000202_1",628,"MIDTOWN",0.0509652535011159,"060730002021","060730002021"
"000202_2",626,"MISSION HILLS",0.0405257349052718,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.109529013257491,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.158674235858382,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0438116053029965,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.154435908693063,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0153340618560488,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0547645066287456,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0690032783522195,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.154390346346599,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0262869631817979,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0591456671590453,"060730002022","060730002022"
"000202_2",628,"MIDTOWN",4.55641916799605e-05,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0306681237120976,"060730002022","060730002022"
"000202_2",628,"MIDTOWN",0.000142940478868714,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0350492842423972,"060730002022","060730002022"
"000202_2",626,"MISSION HILLS",0.0481927658332962,"060730002022","060730002022"
"000202_3",628,"MIDTOWN",9.40255689815707e-07,"060730002023","060730002023"
"000202_3",529,"PARK WEST",1.54215927661554e-05,"060730002023","060730002023"
"000202_3",627,"HILLCREST",0.020618556202068,"060730002023","060730002023"
"000202_3",626,"MISSION HILLS",7.4922550170597e-10,"060730002023","060730002023"
"000202_3",627,"HILLCREST",0.827039062600506,"060730002023","060730002023"
"000202_3",628,"MIDTOWN",6.68522592134175e-05,"060730002023","060730002023"
"000202_3",627,"HILLCREST",0.0190321235116685,"060730002023","060730002023"
"000202_3",627,"HILLCREST",0.0555105572180157,"060730002023","060730002023"
"000202_3",627,"HILLCREST",0.0237906417716169,"060730002023","060730002023"
"000202_3",627,"HILLCREST",0.0404440910117488,"060730002023","060730002023"
"000202_3",627,"HILLCREST",0.0134813636705829,"060730002023","060730002023"
"000202_3",628,"MIDTOWN",3.8915689840184e-07,"060730002023","060730002023"
"000202_4",628,"MIDTOWN",0.00823045280725556,"060730002024","060730002024"
"000202_4",627,"HILLCREST",5.97649446368182e-05,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.140946504324251,"060730002024","060730002024"
"000202_4",627,"HILLCREST",4.36562438497986e-06,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.055555556448975,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.0709876554625792,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.0617215694694904,"060730002024","060730002024"
"000202_4",627,"HILLCREST",4.06622060187156e-05,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.0287867451556787,"060730002024","060730002024"
"000202_4",627,"HILLCREST",1.98396637675414e-05,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.375454643256509,"060730002024","060730002024"
"000202_4",626,"MISSION HILLS",1.79515411479444e-08,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.0452674904399056,"060730002024","060730002024"
"000202_4",626,"MISSION HILLS",2.46082197543867e-06,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.0267489536699856,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.11212330935598,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.0472844414397729,"060730002024","060730002024"
"000202_4",628,"MIDTOWN",0.0267489716235806,"060730002024","060730002024"
"000202_4",627,"HILLCREST",1.65953337111727e-05,"060730002024","060730002024"
"000301_1",627,"HILLCREST",0.167247386759582,"060730003011","060730003011"
"000301_1",627,"HILLCREST",0.695121951219512,"060730003011","060730003011"
"000301_1",627,"HILLCREST",0.137630662020906,"060730003011","060730003011"
"000301_2",627,"HILLCREST",0.289982425307557,"060730003012","060730003012"
"000301_2",627,"HILLCREST",0.32688927943761,"060730003012","060730003012"
"000301_2",627,"HILLCREST",0.166959578207381,"060730003012","060730003012"
"000301_2",627,"HILLCREST",0.216168717047452,"060730003012","060730003012"
"000301_3",627,"HILLCREST",0.195652173774905,"060730003013","060730003013"
"000301_3",627,"HILLCREST",0.064139671893851,"060730003013","060730003013"
"000301_3",529,"PARK WEST",7.7629233450226e-05,"060730003013","060730003013"
"000301_3",627,"HILLCREST",0.30328205497768,"060730003013","060730003013"
"000301_3",627,"HILLCREST",0.436758892972264,"060730003013","060730003013"
"000301_3",529,"PARK WEST",8.9577147849478e-05,"060730003013","060730003013"
"000302_1",627,"HILLCREST",0.030353200819368,"060730003021","060730003021"
"000302_1",627,"HILLCREST",0.1462472403115,"060730003021","060730003021"
"000302_1",627,"HILLCREST",0.0397350992544454,"060730003021","060730003021"
"000302_1",627,"HILLCREST",0.0171081677345529,"060730003021","060730003021"
